代码,名称,半衰期,最高价,最低价
sz159939,信息技术ETF,92.34305228118055,1.519,0.392
sz159933,国投金融地产ETF,20.68724512575711,2.526,1.9
sz159811,5G50ETF,26.37190816021413,1.281,0.771
sz159607,中概互联网ETF,17.28790422641463,0.96,0.545
sz159605,中概互联ETF,17.06493212981132,0.957,0.545
sz159587,粮食50ETF,2.949089109871738,1.003,0.958
sz159579,深主板50ETF华安,2.813338527596978,1.006,0.917
sz159570,港股通创新药ETF,6.72602477892452,0.923,0.753
sz159569,港股红利低波ETF,6.982621873502573,1.016,0.939
sz159567,港股创新药ETF,5.551490912970278,1.004,0.754
sz159557,恒生医疗指数ETF,3.886180626825971,0.964,0.848
sz159552,中证2000增强ETF,1.6623555515355546,1.005,0.928
sz159545,恒生红利低波ETF,9.563267261024693,1.132,0.977
sz159507,电信ETF,15.354744585135212,1.024,0.736
sz159331,红利港股ETF,5.127745146257745,1.011,0.924
sz159330,沪深300ETF基金,6.224023324277483,1.002,0.951
sz159329,沙特ETF,4.358172512022778,1.187,0.95
sz159005,汇添富快钱ETF,0.6930003555249722,100.306,99.996
sz159003,招商快线ETF,1.4086066553569159,100.005,99.969
sz159001,货币ETF,0.7891527486212535,100.003,99.989
sh563180,高股息ETF,16.960359750665614,1.036,0.933
sh520830,沙特ETF,3.7269403800137626,1.186,0.944
sh516110,汽车ETF,23.956386651978036,1.312,0.828
sh512640,金融地产ETF基金,21.492512923053198,2.11,1.564
sh512160,MSCI中国A股ETF,106.42494264934585,1.734,0.938
sh511990,华宝添益ETF,1.0355531761823507,100.106,99.923
sh511980,现金添富ETF,0.8344262170791367,104.238,99.507
sh511970,国寿货币ETF,0.729031882259672,101.024,99.901
sh511960,嘉实快线ETF,2.4253386106330748,114.534,98.709
sh511950,添利货币ETF,1.1395445691593764,103.674,99.9
sh511930,国联日盈货币ETF,0.7663723096457301,100.573,90.016
sh511920,广发货币ETF,0.9131814944393649,100.98,99.308
sh511910,融通货币ETF,0.7700386811412008,100.888,99.606
sh511900,富国货币ETF,0.9199089818384839,100.073,99.981
sh511860,保证金货币ETF,0.7353234140098629,100.078,99.989
sh511850,财富宝ETF,1.7391021847980375,100.08,99.932
sh511830,华泰货币ETF,0.7853783252242303,103.0,99.899
sh511820,鹏华添利ETF,0.6984652914285889,101.6,96.089
sh511810,理财金货币ETF,1.1692529552911715,100.088,99.965
sh511800,易方达货币ETF,0.8153931709406015,100.332,99.977
sh511770,金鹰增益货币ETF,0.7606485418287927,108.6,99.774
sh511700,场内货币ETF,0.8159305221884142,100.07,99.969
sh511690,交易货币ETF,0.8158787320359637,100.116,99.98
sh511670,华泰天天金ETF,1.4621583710852248,108.602,99.811
sh511660,货币ETF建信添益,0.9027364815815827,100.077,99.964
sh511650,华夏快线ETF,0.7742258733578317,100.201,99.954
sh511620,货币基金ETF,0.7385332559142509,110.0,99.893
sh511600,货币ETF,0.714136626739289,103.019,99.9
